Name of repository,URL,Country ,Description,Scope,Main focus on OER? (Y/N),Private/public,Organizer,Organizer's country ,Organizer Type,Link to Organizer,Associated administrations ,Creation date,no. Of USERS,no. Of OER downloaded (year),no. Of page visitors (month),number of OERs,Types of OERS,Who produces the OER?,Who can access/download the OER?,Open / Closed to external contributions,Languages,Multilingual repository,Subjects (if limited),Education level,Inclusion of Metadata ,Users evaluation tools,Specification Creative Commons Licences
OER Sverige,http://oersverige.se/,Sweden,network of ten universities lead by Karlstad University. Virtual platform for Swedish OER initiatives and resources will be developed. The project intends to focus in particular on how OER affects teacher trainers and decision makers.,General OER Repository,Y,Private,Karlstad University,Sweden,University,http://www.kau.se/en,"ITHU (Swedish network for IT in higher education), teacher network Dela, and financed by .SE (Internet Infrastructure Foundation",,,,,,,,,,Swedish,,,Higher Education,,,
Open Academic Courses,http://opencourses.gr/,Greece,"National initiative for the development of digital open courseware in Greek universities. Courses taught at Universities and colleges, freely accessible and freely available on the Internet for everyone.",General OER Repository,Y,Public,Greek University Network,Greece,Private,http://www.gunet.gr/,22 Institutes,,,,,"less than 100,000",Courses,Staff/Experts,Anyone,,Greek,no,,Higher Education,,,
Open eclass,http://www.openeclass.org/en/,Greece,Open eClass A free and flexible e-learning platform which can address every educational need.,General OER Repository,Y,Public,Greek University Network,Greece,Private,http://www.gunet.gr/,,2003,,,,,"Courses, Interactive Resources, Multimedia, Teaching Materials, Others ",Staff/Experts,Anyone,,Greek,no,,,,,
Open Science Resources,http://www.osrportal.eu/ ,Paneuropean,"The OSR portal contains educational material in different formats. Users can search in the ""Explore OSR"" section and also upload their own materials to the OSR Repository
The Open Science Resources (OSR) portal enables you to access the finest digital collections in European science centres and museums, to follow educational pathways connecting objects tagged with semantic metadata and to enrich the contents provided with social tags of your own choice. 

Explore OSR: The OSR Repository includes numerous educational materials (images of exhibits and scientific instruments, animations, videos, lesson plans, student projects and educational pathways with guidelines for interactive museum visit experiences) ",General OER Repository,,Public ,"http://www.openscienceresources.eu/, ",,EU Project,,"Our key interests are: learning design, PLE and eportfolios, social software, open source tools and technologies, open education, integration of tools and mash-ups, e-learning pedagogies.",,,,,,,,,Closed,,no,,,,,
OpenLearnWare  ,https://openlearnware.hrz.tu-darmstadt.de/,Germany,"OpenLearnWare (OLW) online platform for free access and exchagen of Educational materials. Supporting the world wide initiative ""Open Educational Resources (OER)""",General OER Repository,Y,Private,TU Darmstadt,Germany,University,http://www.tu-darmstadt.de/,,2009,,,"less than 10,000","less than 100,000","Multimedia, Others",Users,Anyone,Closed,German,no,"Engineering, Natural Science, Humanities
Law and Economics
Kinesiology
E-Learning
Education
Philosophy
Ergonomics
Architecture
Civil and Environmental Engineering
Computer Science
Mechanical Engineering
Mathematics
Physics",Higher Education,None,None,YES
OpenLearnWorks,http://www.open.edu/openlearnworks/,United Kingdom,"OpenLearn Works is an open educational platform where individuals and organisations can publish their open content, open courses and resources. tools for collaboration, reuse and remixing",General OER Repository,Y,Private,The Open University,United Kingdom,University,http://www.open.ac.uk/,http://www.open.edu/openlearn/,2006,"less than 10,000",,,,"Courses, Others",Staff/Experts,Anyone,Open,English,,,"Primary & Secondary Education, Higher Education","Dublin Core, IEEE LOM, OAI-PMH",Rating,YES
OpenScout,http://learn.openscout.net/,Paneuropean,"OpenScout: Portal and tool for OER in Management, Business and related domains. Also Aggregating a large number of other  Repositories http://www.openscout.net/repositories/
OpenScout stands for ""Skill based scouting of open user-generated and community-improved content for management education and training"". OpenScout is a project co-funded by the European Commission within the eContentplus Programme as a Targeted Project in the area of Educational Content (Grant ECP 2008 EDU 428016). OpenScout started in September 2009 and has a duration of three years. ",General OER Repository,Y,Public,network of regional agencies all over Europe,International,EU Project,http://www.openscout.net/repositories/,,2010,"less than 10,000",,,,,Users and Staff/Experts,Anyone,Open,"English, German, Dutch, French, Spanish, Italian, Slovenian, Lithuanian, Greek",yes,Management and Business,Higher Education,"IEEE LOM, OAI-PMH",Rating,YES
ORBilu ,http://orbilu.uni.lu/,Luxembourg,This site provides access to the research output of the institution. The interface is available in French or English. Users may set up RSS feeds to be alerted to new content.,General OER Repository,N,Private,University of Luxembourg and University of Liège,Luxembourg,University,http://wwwen.uni.lu/,Member of the Confederation of Open Access Repositories,2013,,,,"less than 100,000",Others,,,,"French, English",,Multidisciplinary,Higher Education,,,YES
Organic.Edunet,http://www.organic-edunet.eu/,Paneuropean,"Learning portal which provides access to thousands of quality digital learning resources on organic agriculture, agroecology and other green topics, such as ecology, sustainability, biodiversity, environment and energy.",Subject Specific Repository,Y,Public,,,EU Project,,  funded under the ICT Policy Support Programme (ICT PSP),,,,,,,,,Open,"English, Estonian, French, German, Greek, Hungarian, Norwegian, Romanian, Russian, Spanish and Turkish",yes, Agroecology,,,,
"OTTER - Open, Transferable and Technology-enabled Educational Resources",http://www2.le.ac.uk/departments/beyond-distance-research-alliance/projects/otter?uol_r=22c0d72e,United Kingdom,The OTTER project enables the production and release of high-quality open educational resources (OERs) drawn from teaching materials delivered at the University of Leicester.,General OER Repository,Y,Private,University of Leicester ,United Kingdom,University,http://www.le.ac.uk/,Higher Education Academy and JISC,,,,,,,,,Closed,English,no,,Higher Education,,,YES
Pandektis,http://pandektis.ekt.gr/pandektis/,Greece,"'PANDEKTIS - A Digital Thesaurus of Primary Sources for Greek History and Culture' aims to provide free access to eleven integrated and scientifically elaborated collections produced by the three humanistic Institutes of the National Hellenic Foundation for Research - Institute of Greek and Roman Antiquity, Institute of Byzantine Research, Institute of Neohellenic Research. ",Subject Specific Repository,Y,Public,National Hellenic Research Foundation,Greece,Public,http://www.eie.gr/,"Institute of Neohellenic Research, Institute of Byzantine Research, Institute of Greek and Roman Antiquity and the National Documentation Centre",,,,,"less than 100,000",Others,Staff/Experts,Anyone,,Greek,,Greek History and Culture,,,,
Photodentro LOR,http://photodentro.edu.gr,Greece,"Photodentro LOR is the Greek National Learning Object Repository (LOR) for primary and secondary education. It hosts reusable learning objects, which are small, self-contained (semantically and functionally autonomous), reusable units of learning resources, tagged with educational metadata. It is open to everyone, students, teachers, parents, as well as anybody else interested (http://photodentro.edu.gr). ",General OER Repository,Y,Public,Greek Ministry of Education,Greece,National Government,http://www.minedu.gov.gr/       ,ESF,2010,,,,"less than 100,000",,Staff/Experts,Anyone,,Greek,,,Primary & Secondary Education,,,YES
Photodentro Video,http://photodentro.edu.gr/video/,Greece,Photodentro/Educational Video is the Greek Educational Video Repository for primary and secondary education. open to all. The Photodentro/Educational Video Repository is one of the Educational Content Repositories of the Photodentro group. ,General OER Repository,Y,Public,Greek Ministry of Education,Greece,National Government,http://www.minedu.gov.gr/       ,ESF,2010,,,,,Multimedia,,Anyone,,Greek,,,Primary & Secondary Education,,,YES
Portal das Escolas,https://www.portaldasescolas.pt/,Portugal,"collaborative online network in education aimed at educating communities of pre-school education and primary and secondary teaching, including the teachers, the students, the parents and the parents and the non-teaching staff.",General OER Repository,Y,Public,Portuguese Government,Portugal,National Government,http://www.portugal.gov.pt/,EU funds,2009,"10,000-100,000",,,"less than 100,000","Interactive Resources, Multimedia, Teaching materials, Others",Staff/Experts,Anyone,Closed,"Portuguese, English",no,,Primary & Secondary Education,"IEEE LOM, OAI-PMH",Rating,YES
portalas emokykla,http://portalas.emokykla.lt/,Lithuania,"Methodological material and exchange of best practices in relation to the application of ICT in education. This initiative is  supported by the Ministry of Education and Science, the Centre for Information Technologies at the Ministry, as well as by Microsoft corporation",General OER Repository,N,Private/Public,Ministry of Education and Science,Lithuania,National Government,http://www.smm.lt/,"The Centre for Information Technologies at the Ministry, as well as by Microsoft corporation",,,,,,"Multimedia, Others",Staff/Experts,Registered Users,,Lithuanian,no,,Primary & Secondary Education,None,None,NO
Procomún,https://procomun.educalab.es/,Spain,"Recursos educativos y de aprendizaje, fundamentalmente por parte de la comunidad docente y el alumnado, pero también por el público en general.",General OER Repository,Y,public,Educalab,Spain,National Government,http://educalab.es/home,Ministry of Education Culture and Sport and by the EU,,,,,,,,Anyone,,Spanish,no,,,IEEE LOM,,YES
R21,http://r21.ccems.pt/OER/tabid/330/language/pt-PT/Default.aspx,Portugal,R21 is a collaborative portal for the dissemination of educational contents which involves teachers and students in practical activities through the usage of ICT. Its main goal is to promote cross curricular activities and to showcase best practices in teaching and learning with ICT. The access to the portal is free but there are some contents and functionalities that require a registration.,General OER Repository,Y,Public,CCEMS,Portugal,National Government,http://www.ccems.pt/CCEntreMarESerra/AboutUs/tabid/235/language/pt-PT/Default.aspx,,,"10,000-100,000",,,,Teaching materials,,Registered Users,,Portuguese,no,,Primary & Secondary Education,,,YES
RODA,http://roda.culturaextremadura.com/,Spain,"Digital collections managed by Extremadura's Regional Authority on Education and Culture, according to the Open Archives Initiative (OAI-PMH). ",General OER Repository,Y,Public,Consejería de Educación y Cultura,Spain,National Government,http://www.gobex.es/cons004/,,2008,,,,"less than 100,000","Multimedia, Others ",Users,Anyone,Closed,Spanish,no,,All educational levels,OAI-PMH,None,
RPI Virtuell,http://www.rpi-virtuell.net/,Germany,,Subject Specific Repository,,Private,Evangelical Church in Germany,Germany,Private,http://www.ekd.de/,,,,,,,,,,,German,,Religious Affairs,,,,
RVP Metodicky Portal  ,http://rvp.cz/,Czech Republic,Methodological portal RVP.CZ was established as the main methodological support for teachers and to help implementation of national curriculum in schools. Its purpose was to create an environment in which teachers inspire and inform each other about their experiences.,General OER Repository,N,Public,National Institute for Education,Czech Republic,National Government,http://www.nidv.cz/en/,,2009,"10,000-100,000",,"10,000-100,000",,"Courses, Teaching materials, Others",Staff/Experts,Anyone,Open,Czech,yes,,Primary & Secondary Education,OAI-PMH,"Comments, rating",YES
Sankoré,http://planete.sankore.org/xwiki/bin/view/Search/WebHome,France,"French government program dedicated to the development of free and open digital education for all. An open ecosystem for all teachers for creating, editing, dissemination and sharing of free educational digital resources. The Open-Sankore software: free software and free to teach, create and share with digital. A digital class equipment program Sankore (CNS), teacher training and by the digital production of free digital educational resources.These resources have been produced for DGESCO and Digital Educational Directorate (DNE) by Canopus Network (ex CNDP) and AgroSup Dijon.",General OER Repository,Y,Public,Délégation interministérielle pour l'éducation numérique en Afrique,France,National Government,http://sankore.org/fr/enseigner-avec-le-numerique,DGESCO and Digital Educational Directorate (DNE) by Canopus Network (ex CNDP) and AgroSup Dijon,,,,,"less than 100,000",,,,,French,no,,"Primary & Secondary Education, VET",RSS,,YES
Science and Religion Dialogue Prints,http://scireprints.lu.lv/,Latvia,"Welcome to SciRePrints, an electronic self-archive repository created with the aim to facilitate communication between the fields of science and religion",Subject Specific Repository,Y,Private,University of Latvia,Latvia,University,http://www.lu.lv/eng/,,,,,,"less than 100,000",,,,,Latvian,,Science and Religion,Higher Education,OAI-PMH,,
Scientix ,http://www.scientix.eu/web/guest/resources;jsessionid=6BA5BFD72DF226D2340F23BA08DBACE1,Europe,"Scientix – the community for science education in Europe – was created to facilitate regular dissemination and sharing of know-how and best practices in science education across the European Union. Scientix is open for teachers, researchers, policy makers, parents and anyone interested in science education.",Subject Specific Repository,N,Public,European Schoolnet ,Europe,Association,http://www.eun.org/,European Commission,,,,,,,Users,Anyone,Open,,yes,Science,,,,
Scoilnet,https://www.scoilnet.ie/scoilnet/about-us/,Ireland,The new Scoilnet website launched in May 2014. It features a standards-based repository of teaching and learning resources for the primary and post-primary sectors.,General OER Repository,Y,Public,PDST Technology ,Ireland,Private,http://www.pdsttechnologyineducation.ie/en/,Ministry of Education,2014,,,,"less than 100,000",,Users,,,English,,,Primary & Secondary Education,,,
SeGu – Selbstgesteuert entwickelter Geschichtsunterricht ,http://segu-geschichte.de/,Germany,SEGU is an online learning platform including modules for the teaching of history,Subject Specific Repository,,,University of Cologne,Germany,Public,http://www.portal.uni-koeln.de/uoc_home.html?L=1,,,,,,,"Multimedia, Teaching Materials, Others",,,,German,,History,,,,YES
SEI,http://portal.edu.ro/,Romania,"The IT Based Educational System (SEI) is a complex program initiated by the Ministry of Education and Research in 2001, aiming to offer ITC support for the Romanian education system",General OER Repository,N,Public,SIVECO,Romania,National Government,http://www.siveco.ro/,Ministry of Education Youth and Sports,2001,,,,,,,,,Romanian,,,,,,
SENnet ,http://sennet.eun.org/,Europe,"SENnet connects, informs and supports those using technology to improve access to learning for young people with special educational needs. SENnet is funded by the European Commission, runs from December 2011 to November 2014, and is co-ordinated by European Schoolnet.",Subject Specific Repository,N,Public,European Schoolnet ,Europe,Association,http://www.eun.org/,European Commission,,,,,,,,,,,,Special Educational Needs,,,,
Serlo,https://de.serlo.org/,Germany,,,,,,Germany,,,,2010,"100,000-250,000",,"100,000-500,000","less than 100,000","Courses, Teaching Materials, Others",Staff/Experts,,Open,German,yes,,Primary & Secondary Education,,Comments,YES
SIO SI,www.sio.si,Slovenia,"The purpose of the site SIO is to connect and integrate projects, activities and services Slovenian education system. Next to other functions they foster the development and access to the repositories with OERs",General OER Repository,N,Public,"Ministry of Education, Science and Sport",Slovenia,National Government,http://www.mizs.gov.si/en/,,,,,"100,000-500,000",,,,,,Slovenian,,,,,,
SNAR,http://skolresurser.se,Sweden,Resources for students and teachers ,General OER Repository,Y,Private, Victoria Wagman (Göteborg University),Sweden ,University,https://twitter.com/victoriawagman,Göteborg University,,,,,,"Teaching materials, Others ",,Anyone,Open,Swedish,No,,,,,
Spindeln,http://www.skolverket.se/skolutveckling/itiskolan/digitala_larresurser/om_spindeln,Sweden,Spindeln (Spider) is a search service for students and teachers in Sweden. The idea is to facilitate searching for digital materials that can be used in school work. Spindeln was developed by the Department of Interactive Media and Learning (IML) at Umeå University in collaboration with the Swedish National Agency for Education.,General OER Repository,Y,Private/Public,Department of Interactive Media and Learning (IML)  Umeå University in collaboration with the Swedish National Agency for Education.,Sweden,University,http://www.umu.se/english,The Swedish National Agency for Education,,,,,,,,,,Swedish,,,,,,
Start.e-edu,Start.e-edu.bg,Bulgaria,National Education portal. Resources acquired from publishers via tenders,General OER Repository,Y,Private,,,Private,,,,,,,,,,,,,,,,,,
Study 4 exams,http://www.study4exams.gr/,Greece,Repository for supportive learning resources for high school (materials that accompany the official curriculum),General OER Repository,Y,Public,"The Computer Technology Institute and Press ""Diophantus""",Greece,National Government,http://www.cti.gr/en/,Greek Ministry of Education,"2010, OER's creation: 2013     ",,,,,"Interactive Resources, Multimedia, Others",Staff/Experts,,,Greek,,"Ancient Greek - philosophical Reasons, biology, Latin, Mathematics Science and Technological Direction, Physical Science and Technological Direction, General topics",,,,
Sulinet Digital Knowledge Base (SDT),http://sdt.sulinet.hu/,Hungary,"non profit goals, free of charge. LOs are provided with detailed metadata users have the right to edit the OERs and to create new ones (partly with professional verification)",General OER Repository,N,Public,The Sulinet Program Office (Hungary) in cooperation with the Ministry of Education,Hungary,National Government,http://www.educatio.hu/,Ministry of Education,2004,,,,,"Multimedia, Teaching materials, Others ",,Anyone,Open,,,,,,,
The Learning Resource Exchange,http://lreforschools.eun.org/web/guest,Paneuropean,The Learning Resource Exchange (LRE) is not a repository but rather a catalogue that references OERs stored elsewherefrom. LRE is a service that enables schools to find educational content from different countries and providers. It was developed in order to provide Ministries of Education with access to a network of learning content repositories and associated tools that allow them to more easily exchange high quality learning resources that ‘travel well’ and can be used by teachers in different countries.,General OER Repository,Y,Private, European Schoolnet (EUN) ,Belgium,Private,http://www.eun.org/,European Ministries of Education,2004,,"10,000-100,000",,,,,,,Multilingual,yes,,Primary & Secondary Education,IEEE LOM,Rating,YES
The world lecture project  ,http://www.world-lecture-project.org/  ,Germany,"(wlp)° is the central platform for delivering academic videos from faculties worldwide. You can find videos according to various criteria: theme, faculty, country, language, institution and others.",General OER Repository,N,private,,Germany,Private,,,2005,,,,"less than 100,000",,,Anyone,Open,,,,,,,
TVDU,http://www.tvdu.lt/,Lithuania,"Supports the idea of developing OER content and suggest video lectures and video integrating formal education content, as well as informal education content for public use in embedded format",General OER Repository,N,,,Lithuania,Private,,,2010,,,,,Multimedia,Staff/Experts,Registered Users,,Lithuanian,no,,Higher Education,None,None,NO
UNF3S,http://unf3s.cerimes.fr,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,,Public,UNF3S,France,Association,http://unf3s.cerimes.fr,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
UNISCIEL,http://www.unisciel.fr,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,,Public,UNISCIEL,France,Association,http://www.unisciel.fr,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
UNIT,http://www.unit.eu/fr,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,,Public,UNIT,France,foundation,http://www.unit.eu/fr,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
UNJF,http://www.unjf.fr,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,,Public,UNJF,France,Association,http://www.unjf.fr,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Registered Users,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
UOH,http://www.uoh.fr,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,Y,Public,UOH,France,University,http://www.uoh.fr,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Registered Users,,French,,"humanities, litterature, arts, …",Higher Education,SupLOMfr (french declination of the LOM for HE),,YES
UR,http://www.ur.se/,Sweden,Swedish public service educational broadcasting company. Not all their resources are open - if they are restricted for copyright reasons schools can still use them for free but then have to use a login,,,,,,,,,,,,,,,,,,,,,Primary & Secondary Education,,,
UVED,http://www.uved.fr/navigation/accueil.html,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,,Public,UVED,France,foundation,http://www.uved.fr/navigation/accueil.html,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
videolectures.net,http://videolectures.net/,Slovenia,"VideoLectures.NET is a free and open access educational video lectures repository. The lectures are given by distinguished scholars and scientists at the most important and prominent events like conferences, summer schools, workshops and science promotional events from many fields of Science. The portal is aimed at promoting science, exchanging ideas and fostering knowledge sharing by providing high quality didactic contents not only to the scientific community but also to the general public. All lectures, accompanying documents, information and links are systematically selected and classified through the editorial process taking into account also users' comments.",Subject Specific Repository,N,Private,"Center for Knowledge Transfer 
Jozef Stefan Institute ",Slovenia,Private,http://ct3.ijs.si/,,,,,,,,,,Open,"Slovenian, English",,Science,,,Comments,YES
Virtuelle Schule,http://virtuelleschule.bmbf.gv.at/viseu-austauschportal/,Austria,"The exchange portal ViS: EU gathers teaching and learning resources and results from EU projects and provides an overview of international education relevant repositories and content portals, which have arisen from EU-funded projects and programs, or currently arise.",General OER Repository,Y,Public,Austrian Ministry of Education and women,Austria,National Government,https://www.bmbf.gv.at/,,,,,,,,,,,German,,,,,,
W3Schools,http://www.w3schools.com/,Norway,"W3Schools is a web developers site, with tutorials and references on web development languages such as HTML, CSS, JavaScript, PHP, SQL, and JQuery, covering most aspects of web programming.

The site derives its name from the World Wide Web (W3), but is not affiliated with the W3C.

W3Schools was originally created in 1998, by Refsnes Data, a Norwegian software development and consulting company.",Subject Specific Repository,Y,Private,Refsnes Data,Norway,Private,http://w3schools.sinsixx.com/about/about_refsnes.asp.htm,,1998,,,"more than 500,000",,"Interactive Resources, Others",Staff/Experts,Anyone,Open,English,no,Web Development,"VET, Higuer Education, AE",,Comments,NO
Wikiversity,http://de.wikiversity.org/wiki/Hauptseite,Germany,"Wikiversity is devoted to learning resources, learning projects, and research for use in all levels, types, and styles of education from pre-school to university, including professional training and informal learning.",General OER Repository,Y,Public,Wikimedia Foundation,Germany,Foundation,http://de.wikipedia.org/wiki/Wikimedia,,2003,,,,,,Staff/Experts,,,German,,"Art and Design
Classics
Mythology
Law
Language and Literature
Music
Philosophy
Theology",All educational levels,,,
Wikiwijs,http://www.wikiwijs.nl/ ,Netherlands,"Wikiwijs Textbooks Square is the educational platform where you are looking for teaching resources, compare, create and share. ",General OER Repository,Y,Public,"Knowledge Network, the Open University and SLO",Netherlands,University,www.ou.nl/,"Commissioned by the Ministry of Education, Culture and Science ",2013,,,,"100,000-250,000",,Staff/Experts,,Closed,Dutch,yes,,,,,
Xpert  ,http://xpert.nottingham.ac.uk/,United Kingdom,"Hosted by the University of Nottingham, XPERT (Xerte Public E-learing ReposiTory) was a JISC funded collaborative project (summer 2009) to explore the potential of delivering and supporting a distributed repository of e-learning resources created and seamlessly published through the open source e-learning development tool called Xerte Online Toolkits.",General OER Repository,Y,Private,University of Nottingham,United Kingdom,University,http://www.nottingham.ac.uk/,JISC,2009,,,,"250,000-500,000",,,,Open,English,yes,,,RSS,,
Znam.bg,http://znam.bg,Bulgaria,"Portal providing educational material
Znam.bg es el portal educativo, creado con la ambición de convertirse en la más rica fuente de conocimientos enciclopédicos de la lengua búlgara. Znam.bg será uno de los principales nodos de la ""red nacional de conocimiento"". Znam.bg es un proyecto conjunto de la Editorial ""Trud"" y Sirma Media Ltd., una unidad del grupo Sirma . 
a misión de znam.bg a ser la principal fuente de conocimiento e información - los libros de texto, literatura búlgara y el mundo y la poesía, documentos históricos, visual, audio y otros contenidos multimedia a las necesidades del proceso educativo en la escuela primaria y secundaria . El objetivo es no sólo para proporcionar todos los materiales de apoyo necesarios en el plan de estudios del Ministerio de Educación, sino también una gran cantidad de información adicional para apoyar el desarrollo del pensamiento creativo independiente de los estudiantes. Además, znam.bg habrá una importante fuente de enciclopédico conocimiento del público en general , así como la dirección de entrada a otras fuentes especializadas de conocimiento. ",General OER Repository,Y,Public,Ministry of Education,Bulgaria,National Government,,,,,,,,"Multimedia, Others",,,,,,,,,,
ZUM-Wiki,http://wikis.zum.de/zum/Hauptseite,Germany,"Open Platform for educational content and educational processes. Exchange of information, experiences and ideas about teaching and school.",General OER Repository,N,Private,Zentrale für Uinterrichtsmedien im Internet,Germany,Foundation,http://www.zum.de/portal/,,,,,,,,,,Open,,,,"Primary & Secondary Education, VET",,,YES
scolarTIC,http://www.scolartic.com/,Spain,"Open platform for educational content for teachers' training. It includes OERs, MOOCs, LessonsPlans and good practices on digital education. ",General OER Repository,N,Private,Telefonica,Spain,Private,http://www.telefonicaeducaciondigital.com/,,,,,,,"Courses, Teaching Materials",Staff/Experts,Anyone,Closed,Spanish,No,,Primary & Secondary Education,,,
